#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
25.0,Jun 246:35 PM,Staten Island,Long Island,,,,Long Island,25,25,0.008,0.162
25.0,Jun 246:45 PM,York,Lancaster,,,,Penn Medicine,22,24,0.825,0.005
25.0,Jun 246:30 PM,S Maryland,Hagerstown,,,,Hagerstown,24,24,,0.0
25.0,Jun 176:33 PM,Lexington,Gastonia,8-3,"Beggs, D","Newsome, L",final|,24,25,0.0026,0.0
25.0,Jun 207:02 PM,High Point,Lexington,5-11,"Ferrer, B","Casad, C",final|,28,25,0.9938,0.0026
25.0,Jul  16:35 PM,Gastonia,High Point,,,,High Point,22,26,0.0,0.9938
25.0,Jun 186:39 PM,Hagerstown,York,0-4,"Horrell, M","Minaya, J",final|,25,25,0.0,0.825
25.0,Jun 136:40 PM,Lancaster,Charleston,15-6,"Stashak, C","Reyes, S",final|,27,25,0.005,0.0036
25.0,Jun 207:11 PM,York,Staten Island,5-1,"Scott, W","McSweeney, M",final|,23,25,0.825,0.008
26.0,Jun 256:35 PM,Staten Island,Long Island,,,,Long Island,26,26,0.008,0.162
26.0,Jun 256:30 PM,S Maryland,Hagerstown,,,,Hagerstown,25,25,,0.0
26.0,Jun 1812:32 PM,Lexington,Gastonia,17-3,"Wicklander, P","Wells, N",final|,25,26,0.0026,0.0
26.0,Jun 146:55 PM,Lancaster,Charleston,1-10,"Hill, J","Killgore, K",final|,28,26,0.005,0.0036
26.0,Jun 189:14 PM,Hagerstown,York,4-14,"Pace, F","Richardson, D",final|,26,26,0.0,0.825
26.0,Jun 256:45 PM,York,Lancaster,,,,Penn Medicine,24,25,0.825,0.005
26.0,Jun 286:35 PM,Lexington,S Maryland,,,,Regency Furn.,26,26,0.0026,
26.0,Jun 217:00 PM,High Point,Lexington,,,,Lexington,29,26,0.9938,0.0026
26.0,Jun 216:30 PM,York,Staten Island,,,,Staten Island,25,26,0.825,0.008
26.0,Jul  26:35 PM,Gastonia,High Point,,,,High Point,23,27,0.0,0.9938
27.0,Jun 292:05 PM,Lexington,S Maryland,,,,Regency Furn.,27,27,0.0026,
27.0,Jun 266:45 PM,York,Lancaster,,,,Penn Medicine,26,26,0.825,0.005
27.0,Jun 266:35 PM,Staten Island,Long Island,,,,Long Island,27,27,0.008,0.162
27.0,Jun 266:30 PM,S Maryland,Hagerstown,,,,Hagerstown,26,26,,0.0
27.0,Jul  36:35 PM,Gastonia,High Point,,,,High Point,24,28,0.0,0.9938
27.0,Jun 153:06 PM,Lancaster,Charleston,3-4,"Medoro, B","Engler, S",final|,29,27,0.005,0.0036
27.0,Jun 196:35 PM,Lexington,Gastonia,3-7,"Sheffield, J","Eastman, C",final|,28,27,0.0026,0.0
27.0,Jun 221:30 PM,York,Staten Island,,,,Staten Island,27,27,0.825,0.008
27.0,Jun 222:00 PM,High Point,Lexington,,,,Lexington,30,27,0.9938,0.0026
27.0,Jun 197:37 PM,Hagerstown,York,6-5,"Picone, D","Ramirez, J",final|,27,27,0.0,0.825
28.0,Jul  16:35 PM,Hagerstown,S Maryland,,,,Regency Furn.,28,28,0.0,
28.0,Jul  86:35 PM,York,High Point,,,,High Point,28,29,0.825,0.9938
28.0,Jul  46:45 PM,Charleston,Lancaster,,,,Penn Medicine,25,27,0.0036,0.005
28.0,Jun 207:02 PM,S Maryland,Gastonia,2-5,"Wilson, J","Thompson, C",final|,27,28,,0.0
28.0,Jul  47:00 PM,York,Staten Island,,,,Staten Island,29,28,0.825,0.008
28.0,Jun 276:35 PM,Gastonia,Charleston,,,,Charleston,25,28,0.0,0.0036
28.0,Jun 276:35 PM,Hagerstown,Long Island,,,,Long Island,29,28,0.0,0.162
28.0,Jun 276:30 PM,Staten Island,York,,,,York,28,28,0.008,0.825
28.0,Jul  46:30 PM,Long Island,Hagerstown,,,,Hagerstown,28,27,0.162,0.0
28.0,Jun 246:45 PM,Charleston,Lexington,,,,Lexington,26,28,0.0036,0.0026
29.0,Jul  26:35 PM,Hagerstown,S Maryland,,,,Regency Furn.,30,29,0.0,
29.0,Jul  56:00 PM,Long Island,Hagerstown,,,,Hagerstown,29,28,0.162,0.0
29.0,Jul  52:00 PM,York,Staten Island,,,,Staten Island,30,29,0.825,0.008
29.0,Jul  56:45 PM,Charleston,Lancaster,,,,Penn Medicine,27,28,0.0036,0.005
29.0,Jul  912:05 PM,York,High Point,,,,High Point,31,30,0.825,0.9938
29.0,Jun 217:00 PM,S Maryland,Gastonia,,,,Gastonia,28,29,,0.0
29.0,Jun 2511:00 AM,Charleston,Lexington,,,,Lexington,28,29,0.0036,0.0026
29.0,Jun 286:30 PM,Staten Island,York,,,,York,29,29,0.008,0.825
29.0,Jun 286:35 PM,Hagerstown,Long Island,,,,Long Island,31,29,0.0,0.162
29.0,Jun 286:35 PM,Gastonia,Charleston,,,,Charleston,26,29,0.0,0.0036
30.0,Jun 293:04 PM,Gastonia,Charleston,,,,Charleston,27,30,0.0,0.0036
30.0,Jun 266:45 PM,Charleston,Lexington,,,,Lexington,29,30,0.0036,0.0026
30.0,Jun 224:00 PM,S Maryland,Gastonia,,,,Gastonia,29,30,,0.0
30.0,Jul  61:30 PM,York,Staten Island,,,,Staten Island,32,30,0.825,0.008
30.0,Jul  36:35 PM,Hagerstown,S Maryland,,,,Regency Furn.,32,30,0.0,
30.0,Jul  62:00 PM,Charleston,Lancaster,,,,Penn Medicine,30,29,0.0036,0.005
30.0,Jul  65:00 PM,Long Island,Hagerstown,,,,Hagerstown,30,29,0.162,0.0
30.0,Jun 291:00 PM,Staten Island,York,,,,York,30,30,0.008,0.825
30.0,Jun 291:35 PM,Hagerstown,Long Island,,,,Long Island,33,30,0.0,0.162
30.0,Jul 106:35 PM,York,High Point,,,,High Point,33,31,0.825,0.9938
31.0,Jul  86:30 PM,Lexington,Hagerstown,,,,Hagerstown,29,30,0.0026,0.0
31.0,Jul 116:35 PM,Lexington,S Maryland,,,,Regency Furn.,30,31,0.0026,
31.0,Jul  86:45 PM,S Maryland,Lancaster,,,,Penn Medicine,30,30,,0.005
31.0,Jul 116:35 PM,Gastonia,High Point,,,,High Point,28,32,0.0,0.9938
31.0,Jul  86:30 PM,Long Island,Staten Island,,,,Staten Island,31,31,0.162,0.008
31.0,Jul  16:35 PM,Lexington,Charleston,,,,Charleston,31,31,0.0026,0.0036
31.0,Jul  16:30 PM,Lancaster,York,,,,York,30,31,0.005,0.825
31.0,Jul  16:35 PM,Staten Island,Long Island,,,,Long Island,31,31,0.008,0.162
31.0,Jul  47:00 PM,S Maryland,Lexington,,,,Lexington,31,31,,0.0026
31.0,Jun 246:30 PM,High Point,Gastonia,,,,Gastonia,31,31,0.9938,0.0
32.0,Jul  96:30 PM,Long Island,Staten Island,,,,Staten Island,32,32,0.162,0.008
32.0,Jul  36:30 PM,Lancaster,York,,,,York,31,32,0.005,0.825
32.0,Jul 126:35 PM,Lexington,S Maryland,,,,Regency Furn.,32,32,0.0026,
32.0,Jun 2512:30 PM,High Point,Gastonia,,,,Gastonia,32,32,0.9938,0.0
32.0,Jul  26:35 PM,Staten Island,Long Island,,,,Long Island,32,32,0.008,0.162
32.0,Jul  57:00 PM,S Maryland,Lexington,,,,Lexington,32,32,,0.0026
32.0,Jul  26:35 PM,Lexington,Charleston,,,,Charleston,33,32,0.0026,0.0036
32.0,Jul 126:35 PM,Gastonia,High Point,,,,High Point,29,33,0.0,0.9938
32.0,Jul  96:30 PM,Lexington,Hagerstown,,,,Hagerstown,34,31,0.0026,0.0
32.0,Jul  96:45 PM,S Maryland,Lancaster,,,,Penn Medicine,33,31,,0.005
33.0,Jul 132:05 PM,Lexington,S Maryland,,,,Regency Furn.,35,33,0.0026,
33.0,Jul 106:45 PM,S Maryland,Lancaster,,,,Penn Medicine,34,32,,0.005
33.0,Jun 266:30 PM,High Point,Gastonia,,,,Gastonia,33,33,0.9938,0.0
33.0,Jul 106:30 PM,Long Island,Staten Island,,,,Staten Island,33,33,0.162,0.008
33.0,Jul 134:05 PM,Gastonia,High Point,,,,High Point,30,34,0.0,0.9938
33.0,Jul  36:35 PM,Lexington,Charleston,,,,Charleston,36,33,0.0026,0.0036
33.0,Jul  36:35 PM,Staten Island,Long Island,,,,Long Island,33,33,0.008,0.162
33.0,Jul  62:00 PM,S Maryland,Lexington,,,,Lexington,35,33,,0.0026
33.0,Jul 106:30 PM,Lexington,Hagerstown,,,,Hagerstown,37,32,0.0026,0.0
33.0,Jul  46:30 PM,Lancaster,York,,,,York,32,33,0.005,0.825
34.0,Jul 226:35 PM,Charleston,High Point,,,,High Point,31,35,0.0036,0.9938
34.0,Jul 156:30 PM,Long Island,Staten Island,,,,Staten Island,34,34,0.162,0.008
34.0,Jul 226:35 PM,Long Island,S Maryland,,,,Regency Furn.,35,34,0.162,
34.0,Jul 156:30 PM,Lancaster,Hagerstown,,,,Hagerstown,33,33,0.005,0.0
34.0,Jul 186:45 PM,High Point,Lancaster,,,,Penn Medicine,34,33,0.9938,0.005
34.0,Jul 156:45 PM,Gastonia,Lexington,,,,Lexington,31,34,0.0,0.0026
34.0,Jul 116:35 PM,Hagerstown,Charleston,,,,Charleston,34,34,0.0,0.0036
34.0,Jul  44:00 PM,High Point,Gastonia,,,,Gastonia,35,34,0.9938,0.0
34.0,Jul 116:35 PM,Lancaster,Long Island,,,,Long Island,34,34,0.005,0.162
34.0,Jul 116:30 PM,Staten Island,York,,,,York,34,34,0.008,0.825
35.0,Jul  57:00 PM,High Point,Gastonia,,,,Gastonia,36,35,0.9938,0.0
35.0,Jul 196:45 PM,High Point,Lancaster,,,,Penn Medicine,37,34,0.9938,0.005
35.0,Jul 126:30 PM,Staten Island,York,,,,York,35,35,0.008,0.825
35.0,Jul 236:35 PM,Charleston,High Point,,,,High Point,32,36,0.0036,0.9938
35.0,Jul 236:35 PM,Long Island,S Maryland,,,,Regency Furn.,36,35,0.162,
35.0,Jul 166:30 PM,Lancaster,Hagerstown,,,,Hagerstown,35,34,0.005,0.0
35.0,Jul 1611:00 AM,Gastonia,Lexington,,,,Lexington,32,35,0.0,0.0026
35.0,Jul 166:30 PM,Long Island,Staten Island,,,,Staten Island,37,35,0.162,0.008
35.0,Jul 126:35 PM,Lancaster,Long Island,,,,Long Island,36,35,0.005,0.162
35.0,Jul 126:35 PM,Hagerstown,Charleston,,,,Charleston,35,35,0.0,0.0036
36.0,Jul 202:00 PM,High Point,Lancaster,,,,Penn Medicine,38,35,0.9938,0.005
36.0,Jul 246:35 PM,Charleston,High Point,,,,High Point,33,37,0.0036,0.9938
36.0,Jul 2411:05 AM,Long Island,S Maryland,,,,Regency Furn.,38,36,0.162,
36.0,Jul 131:00 PM,Staten Island,York,,,,York,36,36,0.008,0.825
36.0,Jul 1710:30 AM,Long Island,Staten Island,,,,Staten Island,39,36,0.162,0.008
36.0,Jul 133:04 PM,Hagerstown,Charleston,,,,Charleston,36,36,0.0,0.0036
36.0,Jul 176:30 PM,Lancaster,Hagerstown,,,,Hagerstown,37,35,0.005,0.0
36.0,Jul 135:05 PM,Lancaster,Long Island,,,,Long Island,38,36,0.005,0.162
36.0,Jul 176:45 PM,Gastonia,Lexington,,,,Lexington,33,36,0.0,0.0026
36.0,Jul  64:00 PM,High Point,Gastonia,,,,Gastonia,39,36,0.9938,0.0
37.0,Jul 226:45 PM,Hagerstown,Lancaster,,,,Penn Medicine,37,36,0.0,0.005
37.0,Jul 256:35 PM,Gastonia,High Point,,,,High Point,34,38,0.0,0.9938
37.0,Jul 187:00 PM,S Maryland,Lexington,,,,Lexington,36,37,,0.0026
37.0,Jul 156:35 PM,S Maryland,Charleston,,,,Charleston,37,37,,0.0036
37.0,Jul  86:30 PM,Charleston,Gastonia,,,,Gastonia,34,37,0.0036,0.0
37.0,Jul 226:30 PM,York,Staten Island,,,,Staten Island,34,37,0.825,0.008
37.0,Jul 156:30 PM,High Point,York,,,,York,40,37,0.9938,0.825
37.0,Jul 256:35 PM,Hagerstown,S Maryland,,,,Regency Furn.,38,37,0.0,
37.0,Jul 186:35 PM,Charleston,Long Island,,,,Long Island,35,37,0.0036,0.162
37.0,Jul 186:30 PM,York,Hagerstown,,,,Hagerstown,35,36,0.825,0.0
38.0,Jul 236:45 PM,Hagerstown,Lancaster,,,,Penn Medicine,39,37,0.0,0.005
38.0,Jul 2310:30 AM,York,Staten Island,,,,Staten Island,36,38,0.825,0.008
38.0,Jul 266:35 PM,Gastonia,High Point,,,,High Point,35,39,0.0,0.9938
38.0,Jul 196:00 PM,York,Hagerstown,,,,Hagerstown,37,37,0.825,0.0
38.0,Jul 266:35 PM,Hagerstown,S Maryland,,,,Regency Furn.,40,38,0.0,
38.0,Jul  912:30 PM,Charleston,Gastonia,,,,Gastonia,36,38,0.0036,0.0
38.0,Jul 197:00 PM,S Maryland,Lexington,,,,Lexington,38,38,,0.0026
38.0,Jul 196:35 PM,Charleston,Long Island,,,,Long Island,37,38,0.0036,0.162
38.0,Jul 1612:05 PM,S Maryland,Charleston,,,,Charleston,39,38,,0.0036
38.0,Jul 166:30 PM,High Point,York,,,,York,41,38,0.9938,0.825
39.0,Jul 106:30 PM,Charleston,Gastonia,,,,Gastonia,38,39,0.0036,0.0
39.0,Jul 272:05 PM,Hagerstown,S Maryland,,,,Regency Furn.,41,39,0.0,
39.0,Jul 246:45 PM,Hagerstown,Lancaster,,,,Penn Medicine,42,38,0.0,0.005
39.0,Jul 274:05 PM,Gastonia,High Point,,,,High Point,36,40,0.0,0.9938
39.0,Jul 246:30 PM,York,Staten Island,,,,Staten Island,38,39,0.825,0.008
39.0,Jul 205:05 PM,Charleston,Long Island,,,,Long Island,39,39,0.0036,0.162
39.0,Jul 176:35 PM,S Maryland,Charleston,,,,Charleston,40,39,,0.0036
39.0,Jul 202:00 PM,S Maryland,Lexington,,,,Lexington,41,39,,0.0026
39.0,Jul 205:00 PM,York,Hagerstown,,,,Hagerstown,39,38,0.825,0.0
39.0,Jul 1711:00 AM,High Point,York,,,,York,42,39,0.9938,0.825
40.0,Aug  16:35 PM,Gastonia,S Maryland,,,,Regency Furn.,37,40,0.0,
40.0,Jul 296:30 PM,Gastonia,Hagerstown,,,,Hagerstown,38,39,0.0,0.0
40.0,Aug  56:35 PM,S Maryland,High Point,,,,High Point,42,41,,0.9938
40.0,Jul 296:45 PM,High Point,Lexington,,,,Lexington,43,40,0.9938,0.0026
40.0,Jul 296:35 PM,Staten Island,Long Island,,,,Long Island,37,40,0.008,0.162
40.0,Jul 187:00 PM,Staten Island,Gastonia,,,,Gastonia,38,40,0.008,0.0
40.0,Aug  16:45 PM,Staten Island,Lancaster,,,,Penn Medicine,39,39,0.008,0.005
40.0,Jul 257:00 PM,Lancaster,Staten Island,,,,Staten Island,39,40,0.005,0.008
40.0,Jul 256:35 PM,Lexington,Charleston,,,,Charleston,38,40,0.0026,0.0036
40.0,Jul 256:30 PM,Long Island,York,,,,York,40,40,0.162,0.825
41.0,Aug  26:45 PM,Staten Island,Lancaster,,,,Penn Medicine,40,40,0.008,0.005
41.0,Aug  26:35 PM,Gastonia,S Maryland,,,,Regency Furn.,39,41,0.0,
41.0,Jul 306:45 PM,High Point,Lexington,,,,Lexington,44,41,0.9938,0.0026
41.0,Jul 197:00 PM,Staten Island,Gastonia,,,,Gastonia,41,41,0.008,0.0
41.0,Jul 3011:05 AM,Staten Island,Long Island,,,,Long Island,42,41,0.008,0.162
41.0,Jul 3011:00 AM,Gastonia,Hagerstown,,,,Hagerstown,40,40,0.0,0.0
41.0,Jul 266:30 PM,Lancaster,Staten Island,,,,Staten Island,40,41,0.005,0.008
41.0,Jul 266:30 PM,Long Island,York,,,,York,41,41,0.162,0.825
41.0,Aug  66:35 PM,S Maryland,High Point,,,,High Point,43,42,,0.9938
41.0,Jul 266:35 PM,Lexington,Charleston,,,,Charleston,39,41,0.0026,0.0036
42.0,Aug  76:35 PM,S Maryland,High Point,,,,High Point,44,43,,0.9938
42.0,Jul 273:04 PM,Lexington,Charleston,,,,Charleston,40,42,0.0026,0.0036
42.0,Jul 271:30 PM,Lancaster,Staten Island,,,,Staten Island,41,42,0.005,0.008
42.0,Aug  32:05 PM,Gastonia,S Maryland,,,,Regency Furn.,41,42,0.0,
42.0,Jul 316:30 PM,Gastonia,Hagerstown,,,,Hagerstown,42,41,0.0,0.0
42.0,Aug  32:00 PM,Staten Island,Lancaster,,,,Penn Medicine,43,41,0.008,0.005
42.0,Jul 316:35 PM,Staten Island,Long Island,,,,Long Island,44,42,0.008,0.162
42.0,Jul 316:45 PM,High Point,Lexington,,,,Lexington,45,42,0.9938,0.0026
42.0,Jul 271:00 PM,Long Island,York,,,,York,42,42,0.162,0.825
42.0,Jul 202:00 PM,Staten Island,Gastonia,,,,Gastonia,45,42,0.008,0.0
43.0,Aug  86:35 PM,S Maryland,High Point,,,,High Point,45,44,,0.9938
43.0,Aug  86:30 PM,Long Island,Hagerstown,,,,Hagerstown,43,42,0.162,0.0
43.0,Aug  56:30 PM,Lexington,Staten Island,,,,Staten Island,41,43,0.0026,0.008
43.0,Aug  56:45 PM,Hagerstown,Lancaster,,,,Penn Medicine,43,42,0.0,0.005
43.0,Aug 126:35 PM,Lancaster,S Maryland,,,,Regency Furn.,42,43,0.005,
43.0,Aug  16:35 PM,Hagerstown,Long Island,,,,Long Island,44,43,0.0,0.162
43.0,Jul 296:30 PM,Lancaster,York,,,,York,43,43,0.005,0.825
43.0,Aug  17:00 PM,High Point,Lexington,,,,Lexington,46,43,0.9938,0.0026
43.0,Jul 296:35 PM,S Maryland,Charleston,,,,Charleston,46,43,,0.0036
43.0,Jul 226:30 PM,Lexington,Gastonia,,,,Gastonia,42,43,0.0026,0.0
44.0,Jul 306:30 PM,Lancaster,York,,,,York,44,44,0.005,0.825
44.0,Aug  96:00 PM,Long Island,Hagerstown,,,,Hagerstown,44,43,0.162,0.0
44.0,Aug  66:45 PM,Hagerstown,Lancaster,,,,Penn Medicine,45,43,0.0,0.005
44.0,Aug  66:30 PM,Lexington,Staten Island,,,,Staten Island,43,44,0.0026,0.008
44.0,Jul 306:35 PM,S Maryland,Charleston,,,,Charleston,47,44,,0.0036
44.0,Aug  96:35 PM,S Maryland,High Point,,,,High Point,48,45,,0.9938
44.0,Jul 2312:30 PM,Lexington,Gastonia,,,,Gastonia,44,44,0.0026,0.0
44.0,Aug  27:00 PM,High Point,Lexington,,,,Lexington,47,44,0.9938,0.0026
44.0,Aug  26:35 PM,Hagerstown,Long Island,,,,Long Island,46,44,0.0,0.162
44.0,Aug 136:35 PM,Lancaster,S Maryland,,,,Regency Furn.,45,44,0.005,
45.0,Aug  35:05 PM,Hagerstown,Long Island,,,,Long Island,47,45,0.0,0.162
45.0,Jul 316:30 PM,Lancaster,York,,,,York,46,45,0.005,0.825
45.0,Aug 146:35 PM,Lancaster,S Maryland,,,,Regency Furn.,47,45,0.005,
45.0,Aug  32:00 PM,High Point,Lexington,,,,Lexington,48,45,0.9938,0.0026
45.0,Jul 316:35 PM,S Maryland,Charleston,,,,Charleston,49,45,,0.0036
45.0,Aug 104:05 PM,S Maryland,High Point,,,,High Point,50,46,,0.9938
45.0,Aug 105:00 PM,Long Island,Hagerstown,,,,Hagerstown,45,44,0.162,0.0
45.0,Aug  76:30 PM,Lexington,Staten Island,,,,Staten Island,45,45,0.0026,0.008
45.0,Jul 246:30 PM,Lexington,Gastonia,,,,Gastonia,46,45,0.0026,0.0
45.0,Aug  76:45 PM,Hagerstown,Lancaster,,,,Penn Medicine,48,44,0.0,0.005
46.0,Aug 126:35 PM,York,Long Island,,,,Long Island,40,46,0.825,0.162
46.0,Aug 156:35 PM,York,S Maryland,,,,Regency Furn.,41,46,0.825,
46.0,Aug 126:45 PM,Gastonia,Lexington,,,,Lexington,43,46,0.0,0.0026
46.0,Aug 126:30 PM,Staten Island,Hagerstown,,,,Hagerstown,46,45,0.008,0.0
46.0,Aug  810:30 AM,Lancaster,Staten Island,,,,Staten Island,48,46,0.005,0.008
46.0,Aug 196:35 PM,Lexington,High Point,,,,High Point,47,47,0.0026,0.9938
46.0,Aug  56:30 PM,Long Island,York,,,,York,46,46,0.162,0.825
46.0,Aug  56:30 PM,Charleston,Gastonia,,,,Gastonia,40,46,0.0036,0.0
46.0,Aug  16:35 PM,York,Charleston,,,,Charleston,42,46,0.825,0.0036
46.0,Aug 156:45 PM,Staten Island,Lancaster,,,,Penn Medicine,47,45,0.008,0.005
47.0,Aug 166:35 PM,York,S Maryland,,,,Regency Furn.,43,47,0.825,
47.0,Aug 136:45 PM,Gastonia,Lexington,,,,Lexington,44,47,0.0,0.0026
47.0,Aug 136:35 PM,York,Long Island,,,,Long Island,44,47,0.825,0.162
47.0,Aug 136:30 PM,Staten Island,Hagerstown,,,,Hagerstown,48,46,0.008,0.0
47.0,Aug 206:35 PM,Lexington,High Point,,,,High Point,48,48,0.0026,0.9938
47.0,Aug 166:45 PM,Staten Island,Lancaster,,,,Penn Medicine,49,46,0.008,0.005
47.0,Aug  26:35 PM,York,Charleston,,,,Charleston,45,47,0.825,0.0036
47.0,Aug  66:30 PM,Long Island,York,,,,York,47,47,0.162,0.825
47.0,Aug  612:30 PM,Charleston,Gastonia,,,,Gastonia,41,47,0.0036,0.0
47.0,Aug  96:30 PM,Lancaster,Staten Island,,,,Staten Island,49,47,0.005,0.008
48.0,Aug 146:45 PM,Gastonia,Lexington,,,,Lexington,45,48,0.0,0.0026
48.0,Aug 172:05 PM,York,S Maryland,,,,Regency Furn.,46,48,0.825,
48.0,Aug  76:30 PM,Charleston,Gastonia,,,,Gastonia,42,48,0.0036,0.0
48.0,Aug  76:30 PM,Long Island,York,,,,York,48,48,0.162,0.825
48.0,Aug 216:35 PM,Lexington,High Point,,,,High Point,49,49,0.0026,0.9938
48.0,Aug 146:35 PM,York,Long Island,,,,Long Island,47,48,0.825,0.162
48.0,Aug 172:00 PM,Staten Island,Lancaster,,,,Penn Medicine,50,47,0.008,0.005
48.0,Aug 146:30 PM,Staten Island,Hagerstown,,,,Hagerstown,51,47,0.008,0.0
48.0,Aug 101:30 PM,Lancaster,Staten Island,,,,Staten Island,50,48,0.005,0.008
48.0,Aug  33:04 PM,York,Charleston,,,,Charleston,48,48,0.825,0.0036
49.0,Aug 196:35 PM,Gastonia,S Maryland,,,,Regency Furn.,46,49,0.0,
49.0,Aug 126:35 PM,High Point,Charleston,,,,Charleston,49,49,0.9938,0.0036
49.0,Aug 196:30 PM,Charleston,Staten Island,,,,Staten Island,43,49,0.0036,0.008
49.0,Aug  87:00 PM,Charleston,Gastonia,,,,Gastonia,44,49,0.0036,0.0
49.0,Aug 156:35 PM,Hagerstown,Long Island,,,,Long Island,49,49,0.0,0.162
49.0,Aug  86:30 PM,Lexington,York,,,,York,50,49,0.0026,0.825
49.0,Aug 157:00 PM,Gastonia,Lexington,,,,Lexington,47,49,0.0,0.0026
49.0,Aug 196:45 PM,Long Island,Lancaster,,,,Penn Medicine,49,48,0.162,0.005
49.0,Aug 226:35 PM,Lexington,High Point,,,,High Point,51,50,0.0026,0.9938
49.0,Aug 226:30 PM,Long Island,Hagerstown,,,,Hagerstown,50,48,0.162,0.0
50.0,Aug 206:30 PM,Charleston,Staten Island,,,,Staten Island,45,50,0.0036,0.008
50.0,Aug 236:00 PM,Long Island,Hagerstown,,,,Hagerstown,51,49,0.162,0.0
50.0,Aug 206:45 PM,Long Island,Lancaster,,,,Penn Medicine,52,49,0.162,0.005
50.0,Aug 166:35 PM,Hagerstown,Long Island,,,,Long Island,50,50,0.0,0.162
50.0,Aug 206:35 PM,Gastonia,S Maryland,,,,Regency Furn.,48,50,0.0,
50.0,Aug  96:30 PM,Lexington,York,,,,York,52,50,0.0026,0.825
50.0,Aug  97:00 PM,Charleston,Gastonia,,,,Gastonia,46,50,0.0036,0.0
50.0,Aug 1312:05 PM,High Point,Charleston,,,,Charleston,50,50,0.9938,0.0036
50.0,Aug 236:35 PM,Lexington,High Point,,,,High Point,53,51,0.0026,0.9938
50.0,Aug 167:00 PM,Gastonia,Lexington,,,,Lexington,49,50,0.0,0.0026
51.0,Aug 216:45 PM,Long Island,Lancaster,,,,Penn Medicine,53,50,0.162,0.005
51.0,Aug 244:05 PM,Lexington,High Point,,,,High Point,54,52,0.0026,0.9938
51.0,Aug 242:00 PM,Long Island,Hagerstown,,,,Hagerstown,54,50,0.162,0.0
51.0,Aug 216:30 PM,Charleston,Staten Island,,,,Staten Island,47,51,0.0036,0.008
51.0,Aug 216:35 PM,Gastonia,S Maryland,,,,Regency Furn.,50,51,0.0,
51.0,Aug 172:00 PM,Gastonia,Lexington,,,,Lexington,51,51,0.0,0.0026
51.0,Aug 175:05 PM,Hagerstown,Long Island,,,,Long Island,51,51,0.0,0.162
51.0,Aug 146:35 PM,High Point,Charleston,,,,Charleston,51,51,0.9938,0.0036
51.0,Aug 101:00 PM,Lexington,York,,,,York,55,51,0.0026,0.825
51.0,Aug 104:00 PM,Charleston,Gastonia,,,,Gastonia,48,51,0.0036,0.0
52.0,Aug 266:35 PM,Charleston,High Point,,,,High Point,49,53,0.0036,0.9938
52.0,Aug 266:35 PM,York,Long Island,,,,Long Island,49,52,0.825,0.162
52.0,Aug 266:45 PM,Gastonia,Lexington,,,,Lexington,52,52,0.0,0.0026
52.0,Aug 266:30 PM,Lancaster,Hagerstown,,,,Hagerstown,51,51,0.005,0.0
52.0,Aug 296:45 PM,Staten Island,Lancaster,,,,Penn Medicine,52,51,0.008,0.005
52.0,Aug 266:35 PM,Staten Island,S Maryland,,,,Regency Furn.,53,52,0.008,
52.0,Aug 156:35 PM,High Point,Charleston,,,,Charleston,52,52,0.9938,0.0036
52.0,Aug 227:00 PM,Lancaster,Gastonia,,,,Gastonia,52,52,0.005,0.0
52.0,Aug 227:00 PM,S Maryland,Staten Island,,,,Staten Island,51,52,,0.008
52.0,Aug 196:30 PM,Hagerstown,York,,,,York,52,52,0.0,0.825
53.0,Aug 276:35 PM,Staten Island,S Maryland,,,,Regency Furn.,54,53,0.008,
53.0,Aug 276:35 PM,Charleston,High Point,,,,High Point,50,54,0.0036,0.9938
53.0,Aug 276:30 PM,Lancaster,Hagerstown,,,,Hagerstown,53,52,0.005,0.0
53.0,Aug 306:45 PM,Staten Island,Lancaster,,,,Penn Medicine,55,52,0.008,0.005
53.0,Aug 166:35 PM,High Point,Charleston,,,,Charleston,53,53,0.9938,0.0036
53.0,Aug 206:30 PM,Hagerstown,York,,,,York,53,53,0.0,0.825
53.0,Aug 237:00 PM,Lancaster,Gastonia,,,,Gastonia,54,53,0.005,0.0
53.0,Aug 236:30 PM,S Maryland,Staten Island,,,,Staten Island,52,53,,0.008
53.0,Aug 276:35 PM,York,Long Island,,,,Long Island,50,53,0.825,0.162
53.0,Aug 276:45 PM,Gastonia,Lexington,,,,Lexington,53,53,0.0,0.0026
54.0,Aug 286:35 PM,Staten Island,S Maryland,,,,Regency Furn.,56,54,0.008,
54.0,Aug 286:35 PM,Charleston,High Point,,,,High Point,51,55,0.0036,0.9938
54.0,Aug 286:35 PM,York,Long Island,,,,Long Island,51,54,0.825,0.162
54.0,Aug 286:45 PM,Gastonia,Lexington,,,,Lexington,54,54,0.0,0.0026
54.0,Aug 312:00 PM,Staten Island,Lancaster,,,,Penn Medicine,57,53,0.008,0.005
54.0,Aug 286:30 PM,Lancaster,Hagerstown,,,,Hagerstown,55,53,0.005,0.0
54.0,Aug 173:04 PM,High Point,Charleston,,,,Charleston,54,54,0.9938,0.0036
54.0,Aug 216:30 PM,Hagerstown,York,,,,York,54,54,0.0,0.825
54.0,Aug 244:00 PM,Lancaster,Gastonia,,,,Gastonia,56,54,0.005,0.0
